id,binary_label,logits
0,0.92626953125,[2.533203125]
1,0.96337890625,[3.267578125]
2,0.019500732421875,[-3.91796875]
3,0.2393798828125,[-1.15625]
4,0.2362060546875,[-1.173828125]
5,0.6337890625,[0.5478515625]
6,0.9990234375,[6.94140625]
7,0.99609375,[5.49609375]
8,0.96435546875,[3.294921875]
9,0.86328125,[1.8447265625]
10,0.55615234375,[0.2261962890625]
11,0.95361328125,[3.0234375]
12,0.52734375,[0.10858154296875]
13,0.006412506103515625,[-5.04296875]
14,0.254150390625,[-1.076171875]
15,0.63818359375,[0.5673828125]
16,0.998046875,[6.3515625]
17,0.30859375,[-0.80615234375]
18,0.18115234375,[-1.5087890625]
19,0.85693359375,[1.7880859375]
20,0.65234375,[0.62890625]
21,0.9990234375,[6.9765625]
22,0.71923828125,[0.93994140625]
23,0.9990234375,[7.06640625]
24,0.3388671875,[-0.66845703125]
25,0.6845703125,[0.7744140625]
26,0.76806640625,[1.1982421875]
27,0.1591796875,[-1.6640625]
28,0.126220703125,[-1.9345703125]
29,0.1322021484375,[-1.8818359375]
30,0.294677734375,[-0.873046875]
31,0.95263671875,[3.005859375]
32,0.93115234375,[2.603515625]
33,0.82177734375,[1.529296875]
34,0.11376953125,[-2.052734375]
35,0.7080078125,[0.88623046875]
36,0.23095703125,[-1.203125]
37,0.943359375,[2.8125]
38,0.162353515625,[-1.640625]
39,0.9189453125,[2.42578125]
40,0.73046875,[0.9970703125]
41,0.49072265625,[-0.03753662109375]
42,0.91845703125,[2.423828125]
43,0.95068359375,[2.962890625]
44,0.0028781890869140625,[-5.84765625]
45,0.99755859375,[5.953125]
46,0.75634765625,[1.1328125]
47,0.9638671875,[3.283203125]
48,0.360595703125,[-0.5732421875]
49,0.493896484375,[-0.0247802734375]
50,0.95361328125,[3.01953125]
51,0.06610107421875,[-2.6484375]
52,0.367431640625,[-0.54296875]
53,0.87060546875,[1.90625]
54,0.00557708740234375,[-5.18359375]
55,0.2354736328125,[-1.177734375]
56,0.59716796875,[0.393798828125]
57,0.9970703125,[5.75]
58,0.98681640625,[4.328125]
59,0.78857421875,[1.31640625]
60,0.99853515625,[6.64453125]
61,0.7333984375,[1.0126953125]
62,0.998046875,[6.14453125]
63,0.0125274658203125,[-4.3671875]
64,0.99658203125,[5.66015625]
65,0.7470703125,[1.0830078125]
66,0.01512908935546875,[-4.17578125]
67,0.264892578125,[-1.0205078125]
68,0.8505859375,[1.73828125]
69,0.014556884765625,[-4.21484375]
70,0.1416015625,[-1.8017578125]
71,0.4326171875,[-0.270751953125]
72,0.00257110595703125,[-5.9609375]
73,0.04986572265625,[-2.947265625]
74,0.1588134765625,[-1.6669921875]
75,0.3466796875,[-0.6337890625]
76,0.91162109375,[2.333984375]
77,0.69189453125,[0.80859375]
78,0.179443359375,[-1.5205078125]
79,0.97607421875,[3.71875]
80,0.8505859375,[1.7373046875]
81,0.06878662109375,[-2.60546875]
82,0.038116455078125,[-3.228515625]
83,0.37158203125,[-0.52587890625]
84,0.1488037109375,[-1.744140625]
85,0.86865234375,[1.8896484375]
86,0.99853515625,[6.5234375]
87,0.017913818359375,[-4.00390625]
88,0.34130859375,[-0.65771484375]
89,0.05780029296875,[-2.791015625]
90,0.94873046875,[2.921875]
91,0.90185546875,[2.220703125]
92,0.08038330078125,[-2.4375]
93,0.9765625,[3.736328125]
94,0.7734375,[1.228515625]
95,0.9990234375,[6.73828125]
96,0.040618896484375,[-3.162109375]
97,0.83447265625,[1.619140625]
98,0.00981903076171875,[-4.61328125]
99,0.74951171875,[1.0947265625]
100,0.87060546875,[1.9072265625]
101,0.09027099609375,[-2.310546875]
102,0.9453125,[2.84765625]
103,0.11474609375,[-2.04296875]
104,0.126953125,[-1.9287109375]
105,0.86962890625,[1.896484375]
106,0.2166748046875,[-1.28515625]
107,0.0699462890625,[-2.587890625]
108,0.85693359375,[1.791015625]
109,0.149658203125,[-1.7373046875]
110,0.46826171875,[-0.1270751953125]
111,0.1007080078125,[-2.189453125]
112,0.00428009033203125,[-5.44921875]
113,0.99853515625,[6.390625]
114,0.998046875,[6.15234375]
115,0.99853515625,[6.37890625]
116,0.33837890625,[-0.6708984375]
117,0.262451171875,[-1.033203125]
118,0.41162109375,[-0.357177734375]
119,0.99267578125,[4.9140625]
120,0.587890625,[0.354248046875]
121,0.521484375,[0.085693359375]
122,0.8076171875,[1.4345703125]
123,0.474609375,[-0.10186767578125]
124,0.392333984375,[-0.437255859375]
125,0.406494140625,[-0.37890625]
126,0.5439453125,[0.17529296875]
127,0.9990234375,[6.72265625]
128,0.061187744140625,[-2.73046875]
129,0.99755859375,[6.0546875]
130,0.282470703125,[-0.93212890625]
131,0.87841796875,[1.9775390625]
132,0.9609375,[3.19921875]
133,0.1385498046875,[-1.8271484375]
134,0.03753662109375,[-3.244140625]
135,0.9970703125,[5.84375]
136,0.947265625,[2.884765625]
137,0.08331298828125,[-2.3984375]
138,0.7353515625,[1.0224609375]
139,0.08831787109375,[-2.333984375]
140,0.7119140625,[0.90576171875]
141,0.98046875,[3.919921875]
142,0.95458984375,[3.04296875]
143,0.09912109375,[-2.20703125]
144,0.0970458984375,[-2.23046875]
145,0.07598876953125,[-2.498046875]
146,0.80908203125,[1.443359375]
147,0.98291015625,[4.04296875]
148,0.99462890625,[5.1953125]
149,0.0975341796875,[-2.224609375]
150,0.7509765625,[1.1044921875]
151,0.7333984375,[1.01171875]
152,0.931640625,[2.615234375]
153,0.9541015625,[3.0390625]
154,0.1375732421875,[-1.8359375]
155,0.71044921875,[0.896484375]
156,0.091552734375,[-2.294921875]
157,0.07305908203125,[-2.541015625]
158,0.58349609375,[0.336669921875]
159,0.98828125,[4.44921875]
160,0.3212890625,[-0.74755859375]
161,0.258056640625,[-1.056640625]
162,0.9990234375,[7.08984375]
163,0.436767578125,[-0.25439453125]
164,0.26904296875,[-1.0]
165,0.52783203125,[0.1116943359375]
166,0.97802734375,[3.796875]
167,0.9482421875,[2.90625]
168,0.94091796875,[2.763671875]
169,0.88037109375,[1.99609375]
170,0.2005615234375,[-1.3828125]
171,0.77197265625,[1.21875]
172,0.0604248046875,[-2.744140625]
173,0.63134765625,[0.53857421875]
174,0.9794921875,[3.87109375]
175,0.54736328125,[0.190185546875]
176,0.0582275390625,[-2.783203125]
177,0.05072021484375,[-2.9296875]
178,0.11932373046875,[-1.9990234375]
179,0.2476806640625,[-1.111328125]
180,0.90771484375,[2.28515625]
181,0.217041015625,[-1.283203125]
182,0.021820068359375,[-3.802734375]
183,0.99462890625,[5.2109375]
184,0.330810546875,[-0.70458984375]
185,0.8681640625,[1.88671875]
186,0.99951171875,[7.3125]
